batch,best_public_score,submission_id,name,ref,date_utc
Initial format probes,0.11383,009,submission_009_v4_mid_hf,52206394,2026-04-30T14:57:40.183Z
Zero-shot output postprocessing,0.32998,041,submission_041_nms030_shrink080,52207621,2026-04-30T15:40:20.707Z
Bounding-box refinement,0.33073,057,submission_057_aniso_x090_y075,52209643,2026-04-30T16:52:20.060Z
Anisotropic bbox sweep,0.33698,110,submission_110_tail_x095_y0755_dy_plus3,52226145,2026-05-01T06:13:08.850Z
Shift and rounding sweep,0.34012,151,submission_151_tail_x094625_y07535_dy3,52270359,2026-05-02T19:26:33.810Z
Scale-grid sweep,0.34012,211,submission_211_x94475_y75300_dy3,52340128,2026-05-05T03:56:20.610Z
Combined bbox/postprocess sweep,0.34097,204,submission_204_d4_peak_yedge_shrink1,52336613,2026-05-05T01:17:04.907Z
Y-edge sweep,0.34299,271,submission_271_d6_dense18_yedge2_else_best,52377852,2026-05-06T06:27:16.720Z
NMS ridge refinement,0.34392,347,submission_347_d8_nms0334_dense18,52495349,2026-05-09T21:23:12.527Z
Dense-region and NMS sweep,0.34393,326,submission_326_d7_nms034_dense18_yedge2,52437539,2026-05-08T01:11:34.547Z
Table-aware Page CER probes,0.35689,438,submission_438_d9d_table_lowcyr020_min12,52583507,2026-05-12T14:41:29.070Z
Low-Cyrillic text-length sweep,0.35791,448,submission_448_d10_table_lowcyr20_min18,52598441,2026-05-13T02:54:12.970Z
v1.5 low-Cyrillic peak refinement,0.36056,539,submission_539_d11b_adapt_table_lowcyr170_min18_top10rows,52724982,2026-05-17T01:13:52.900Z
Top-row low-Cyrillic refinement,0.36332,588,submission_588_d12b_drop328_plus_rows300_385,52792585,2026-05-19T01:12:25.047Z
v1.6 top-band refinement,0.36490,613,submission_613_d13_bestband_drop203_209_212_239,52837063,2026-05-20T03:56:40.580Z
v1.6 best-band micro refinement,0.36583,618,submission_618_d14_true_bestdrops_rows300_330,52872132,2026-05-21T04:23:40.780Z
v1.6 compact-window and dense-min refinement,0.36623,662,submission_662_d15_true_bestdrops_rows300_330_densemin16,52911063,2026-05-22T03:40:54.407Z
v1.6 dense-min boundary refinement,0.36671,685,submission_685_d16_true_bestdrops_rows300_337_densemin16_min17,52944919,2026-05-23T06:20:41.457Z
v1.6 plateau escape probes,0.36763,776,submission_776_d20_true_bestdrops_rows300_337_densemin12_nms335_min13,53068116,2026-05-27T02:04:55.607Z
v1.6 low-Cyrillic minimum refinement,0.36764,686,submission_686_d17_true_bestdrops_rows300_337_densemin16_min13,52977157,2026-05-24T06:42:37.450Z
v1.6 low-minimum boundary/NMS refinement,0.36765,731,submission_731_d18_true_bestdrops_rows300_337_densemin16_nms360_min13,53014220,2026-05-25T08:57:04.643Z
v1.6 high-NMS cliff probe,0.36765,742,submission_742_d19_true_bestdrops_rows300_337_densemin12_nms360_min13,53046549,2026-05-26T09:17:07.543Z
v1.6 NMS360 dense-min rescue,0.36765,742,submission_742_d19b_true_bestdrops_rows300_337_densemin12_nms360_min13,53046466,2026-05-26T09:14:05.117Z
